instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
273417,1068,MCXGOLDEX,"MCXGOLDEX",0,,0,0,1,EQ,INDICES,MCX
292105,1141,MCXMETLDEX,"MCXMETLDEX",0,,0,0,1,EQ,INDICES,MCX
292361,1142,MCXCRUDEX,"MCXCRUDEX",0,,0,0,1,EQ,INDICES,MCX
292617,1143,MCXCOPRDEX,"MCXCOPRDEX",0,,0,0,1,EQ,INDICES,MCX
292873,1144,MCXCOMPDEX,"MCXCOMPDEX",0,,0,0,1,EQ,INDICES,MCX
293129,1145,MCXBULLDEX,"MCXBULLDEX",0,,0,0,1,EQ,INDICES,MCX
293385,1146,MCXENERGY,"MCXENERGY",0,,0,0,1,EQ,INDICES,MCX
293641,1147,MCXAGRI,"MCXAGRI",0,,0,0,1,EQ,INDICES,MCX
293897,1148,MCXMETAL,"MCXMETAL",0,,0,0,1,EQ,INDICES,MCX
294153,1149,MCXSILVDEX,"MCXSILVDEX",0,,0,0,1,EQ,INDICES,MCX
416265,1626,MCXCOMDEX,"MCX INDEX MCXCOMDEX",0,,0,0,1,EQ,INDICES,MCX
130681095,510473,ALUMINI26MAYFUT,"ALUMINI",0,2026-05-29,0,0.05,1,FUT,MCX-FUT,MCX
141492999,552707,ALUMINI26JUNFUT,"ALUMINI",0,2026-06-30,0,0.05,1,FUT,MCX-FUT,MCX
143883783,562046,ALUMINI26JULFUT,"ALUMINI",0,2026-07-31,0,0.05,1,FUT,MCX-FUT,MCX
145620231,568829,ALUMINI26AUGFUT,"ALUMINI",0,2026-08-31,0,0.05,1,FUT,MCX-FUT,MCX
146251783,571296,ALUMINI26SEPFUT,"ALUMINI",0,2026-09-30,0,0.05,1,FUT,MCX-FUT,MCX
130680839,510472,ALUMINIUM26MAYFUT,"ALUMINIUM",0,2026-05-29,0,0.05,1,FUT,MCX-FUT,MCX
141492743,552706,ALUMINIUM26JUNFUT,"ALUMINIUM",0,2026-06-30,0,0.05,1,FUT,MCX-FUT,MCX
143884039,562047,ALUMINIUM26JULFUT,"ALUMINIUM",0,2026-07-31,0,0.05,1,FUT,MCX-FUT,MCX
145620487,568830,ALUMINIUM26AUGFUT,"ALUMINIUM",0,2026-08-31,0,0.05,1,FUT,MCX-FUT,MCX
146252039,571297,ALUMINIUM26SEPFUT,"ALUMINIUM",0,2026-09-30,0,0.05,1,FUT,MCX-FUT,MCX
130683399,510482,CARDAMOM26MAYFUT,"CARDAMOM",0,2026-05-29,0,1,1,FUT,MCX-FUT,MCX
141495047,552715,CARDAMOM26JUNFUT,"CARDAMOM",0,2026-06-30,0,1,1,FUT,MCX-FUT,MCX
143887111,562059,CARDAMOM26JULFUT,"CARDAMOM",0,2026-07-31,0,1,1,FUT,MCX-FUT,MCX
145623303,568841,CARDAMOM26AUGFUT,"CARDAMOM",0,2026-08-31,0,1,1,FUT,MCX-FUT,MCX
146279431,571404,CARDAMOM26SEPFUT,"CARDAMOM",0,2026-09-30,0,1,1,FUT,MCX-FUT,MCX
130682887,510480,COPPER26MAYFUT,"COPPER",0,2026-05-29,0,0.05,1,FUT,MCX-FUT,MCX
141493255,552708,COPPER26JUNFUT,"COPPER",0,2026-06-30,0,0.05,1,FUT,MCX-FUT,MCX
143884295,562048,COPPER26JULFUT,"COPPER",0,2026-07-31,0,0.05,1,FUT,MCX-FUT,MCX
145620743,568831,COPPER26AUGFUT,"COPPER",0,2026-08-31,0,0.05,1,FUT,MCX-FUT,MCX
146252295,571298,COPPER26SEPFUT,"COPPER",0,2026-09-30,0,0.05,1,FUT,MCX-FUT,MCX
130683655,510483,COTTON26MAYFUT,"COTTON",0,2026-05-29,0,10,1,FUT,MCX-FUT,MCX
141495303,552716,COTTON26JUNFUT,"COTTON",0,2026-06-30,0,10,1,FUT,MCX-FUT,MCX
143887367,562060,COTTON26JULFUT,"COTTON",0,2026-07-31,0,10,1,FUT,MCX-FUT,MCX
145623559,568842,COTTON26AUGFUT,"COTTON",0,2026-08-31,0,10,1,FUT,MCX-FUT,MCX
146251271,571294,COTTON26NOVFUT,"COTTON",0,2026-11-30,0,10,1,FUT,MCX-FUT,MCX
141495559,552717,COTTONOIL26MAYFUT,"COTTONOIL",0,2026-05-29,0,0.1,1,FUT,MCX-FUT,MCX
143887623,562061,COTTONOIL26JUNFUT,"COTTONOIL",0,2026-06-30,0,0.1,1,FUT,MCX-FUT,MCX
145623815,568843,COTTONOIL26JULFUT,"COTTONOIL",0,2026-07-31,0,0.1,1,FUT,MCX-FUT,MCX
146251527,571295,COTTONOIL26AUGFUT,"COTTONOIL",0,2026-08-31,0,0.1,1,FUT,MCX-FUT,MCX
127768327,499095,CRUDEOIL26JUNFUT,"CRUDEOIL",0,2026-06-18,0,1,1,FUT,MCX-FUT,MCX
133299719,520702,CRUDEOIL26JULFUT,"CRUDEOIL",0,2026-07-20,0,1,1,FUT,MCX-FUT,MCX
143610119,560977,CRUDEOIL26AUGFUT,"CRUDEOIL",0,2026-08-19,0,1,1,FUT,MCX-FUT,MCX
144870151,565899,CRUDEOIL26SEPFUT,"CRUDEOIL",0,2026-09-21,0,1,1,FUT,MCX-FUT,MCX
145894407,569900,CRUDEOIL26OCTFUT,"CRUDEOIL",0,2026-10-19,0,1,1,FUT,MCX-FUT,MCX
146796039,573422,CRUDEOIL26NOVFUT,"CRUDEOIL",0,2026-11-19,0,1,1,FUT,MCX-FUT,MCX
127768583,499096,CRUDEOILM26JUNFUT,"CRUDEOILM",0,2026-06-18,0,1,1,FUT,MCX-FUT,MCX
133299975,520703,CRUDEOILM26JULFUT,"CRUDEOILM",0,2026-07-20,0,1,1,FUT,MCX-FUT,MCX
